crop,location,quantity,demand,market_price,recommended_price
Brinjal,Mumbai,152,7,36.0,41.7
Beans,Bangalore,215,6,39.0,45.32
Cauliflower,Mumbai,699,10,38.5,46.19
Carrot,Bangalore,272,7,42.0,49.79
Potato,Mumbai,1636,7,28.0,31.42
Cauliflower,Mumbai,109,7,31.0,35.92
Beans,Kolkata,56,5,39.5,43.61
Spinach,Chennai,145,6,18.0,19.93
Peas,Pune,107,7,58.0,68.57
Carrot,Mumbai,388,6,41.0,45.72
Onion,Bangalore,1546,7,36.5,42.27
Potato,Kolkata,1104,6,20.0,20.83
Cauliflower,Bangalore,858,9,28.0,31.67
Beans,Pune,236,7,49.0,56.11
Brinjal,Hyderabad,792,6,25.5,26.88
Brinjal,Delhi,618,7,28.5,31.44
Beans,Bangalore,99,4,32.5,37.47
Peas,Hyderabad,81,5,65.0,76.42
Peas,Patna,140,3,29.5,31.14
Brinjal,Bangalore,188,7,34.5,39.74
Peas,Patna,223,5,47.5,51.22
Spinach,Patna,82,4,12.5,12.61
Cauliflower,Pune,181,3,20.5,21.35
Brinjal,Patna,598,5,20.5,20.75
Cauliflower,Kolkata,863,6,19.5,19.87
Potato,Patna,505,2,13.0,12.39
Onion,Bangalore,934,9,33.0,39.58
Peas,Chennai,371,5,37.5,42.82
Peas,Bangalore,357,4,40.0,44.71
Cauliflower,Kolkata,190,8,25.0,27.62
Brinjal,Mumbai,113,4,32.5,35.84
Peas,Hyderabad,50,4,42.5,48.25
Carrot,Delhi,284,5,32.5,35.62
Onion,Kolkata,517,3,28.5,29.85
Beans,Pune,78,10,43.5,53.46
Tomato,Delhi,463,4,18.5,19.33
Spinach,Mumbai,43,5,28.0,31.86
Cabbage,Chennai,414,5,20.0,21.63
Peas,Patna,255,4,35.5,37.83
Cauliflower,Patna,243,5,17.5,17.57
Cabbage,Delhi,1154,3,14.0,14.69
Beans,Delhi,219,2,34.5,37.81
Brinjal,Bangalore,228,10,35.0,42.57
Carrot,Patna,350,2,28.0,27.11
Cabbage,Delhi,487,10,24.5,29.33
Onion,Patna,647,7,30.0,31.95
Spinach,Delhi,150,6,23.5,25.53
Carrot,Bangalore,108,10,41.5,52.1
Cauliflower,Pune,371,3,32.0,31.8
Onion,Chennai,566,8,31.5,35.75
Brinjal,Delhi,408,8,28.5,33.03
Carrot,Bangalore,393,7,46.0,53.2
Onion,Chennai,199,4,23.5,25.38
Cabbage,Chennai,677,6,17.0,18.25
Brinjal,Patna,423,6,22.5,22.54
Spinach,Chennai,67,4,18.0,18.94
Cabbage,Delhi,276,3,14.0,14.62
Potato,Mumbai,760,4,19.5,21.2
Beans,Delhi,265,7,58.5,69.15
Spinach,Bangalore,28,6,17.5,20.55
Cauliflower,Patna,343,5,17.0,17.19
Peas,Bangalore,173,4,39.5,44.87
Beans,Patna,174,5,27.0,29.15
Carrot,Chennai,249,10,39.5,47.84
Tomato,Kolkata,679,2,16.0,15.2
Potato,Bangalore,1122,5,19.0,20.0
Beans,Hyderabad,181,5,43.0,47.47
Spinach,Bangalore,80,5,17.5,18.71
Brinjal,Chennai,117,4,28.0,30.22
Carrot,Patna,277,5,27.5,28.93
Carrot,Delhi,226,8,41.5,47.72
Tomato,Kolkata,220,3,26.0,26.22
Cabbage,Bangalore,766,7,17.0,19.29
Beans,Bangalore,47,9,54.5,70.87
Brinjal,Delhi,136,8,35.5,42.58
Carrot,Pune,336,5,36.0,39.49
Potato,Mumbai,324,6,18.5,22.13
Potato,Chennai,714,1,17.0,16.57
Carrot,Chennai,249,5,28.5,31.71
Carrot,Hyderabad,532,5,41.0,43.97
Carrot,Kolkata,242,10,40.5,46.74
Onion,Bangalore,584,7,44.0,51.79
Cauliflower,Patna,373,8,23.0,24.47
Onion,Pune,588,9,37.5,43.46
Spinach,Patna,49,3,19.5,19.13
Spinach,Delhi,208,7,26.5,29.45
Onion,Chennai,673,7,26.0,29.8
Cabbage,Kolkata,102,2,12.0,12.21
Cauliflower,Kolkata,504,6,28.0,30.0
Cauliflower,Hyderabad,239,5,23.5,25.6
Spinach,Pune,66,7,24.0,27.09
Peas,Patna,77,7,43.5,48.83
Beans,Patna,359,7,48.5,52.3
Cauliflower,Kolkata,374,6,19.5,20.4
Onion,Hyderabad,776,5,25.0,26.36
Onion,Chennai,779,7,29.5,33.91
Onion,Bangalore,943,5,33.5,37.62
Spinach,Kolkata,101,5,23.5,24.19
Beans,Hyderabad,264,8,44.5,51.32
Beans,Kolkata,109,3,34.0,37.07
Potato,Pune,263,4,16.0,17.15
Beans,Patna,97,6,39.5,44.3
Potato,Chennai,245,4,21.0,22.77
Spinach,Delhi,116,7,25.5,29.12
Potato,Mumbai,673,5,20.5,23.36
Onion,Bangalore,1630,2,30.0,31.08
Cabbage,Chennai,337,6,15.5,17.27
Potato,Patna,992,8,19.0,20.07
Spinach,Patna,74,3,15.0,15.12
Peas,Mumbai,177,8,39.5,49.73
Carrot,Delhi,867,7,51.5,59.7
Beans,Mumbai,90,4,37.0,42.95
Cauliflower,Kolkata,841,5,17.5,17.95
Carrot,Chennai,164,3,46.0,50.36
Brinjal,Hyderabad,569,6,30.5,33.07
Cabbage,Mumbai,308,6,20.5,23.25
Cauliflower,Chennai,397,7,25.5,27.99
Cabbage,Bangalore,723,7,21.5,23.71
Tomato,Mumbai,98,8,30.0,35.04
Carrot,Kolkata,495,4,30.5,31.35
Cabbage,Hyderabad,177,6,15.0,16.99
Spinach,Hyderabad,33,5,17.5,18.61
Brinjal,Patna,132,3,20.5,19.95
Cabbage,Bangalore,282,4,20.5,22.5
Peas,Patna,196,5,25.5,27.14
Cauliflower,Mumbai,342,6,35.0,39.08
Cauliflower,Pune,241,5,20.5,22.35
Spinach,Bangalore,162,7,19.0,21.82
Spinach,Chennai,48,8,21.0,24.21
Cauliflower,Patna,148,4,26.5,26.24
Cauliflower,Hyderabad,251,6,16.0,17.89
Cabbage,Hyderabad,1086,5,18.0,18.98
Beans,Patna,133,6,32.5,36.03
Potato,Pune,2260,5,17.5,18.63
Tomato,Delhi,910,6,28.0,30.47
Brinjal,Pune,385,8,25.0,28.33
Potato,Kolkata,219,7,14.5,16.17
Potato,Pune,1440,6,17.5,18.98
Cabbage,Chennai,144,7,18.0,20.77
Carrot,Hyderabad,1358,5,39.5,40.81
Brinjal,Pune,135,6,25.5,27.82
Brinjal,Chennai,514,2,23.5,23.4
Brinjal,Kolkata,388,4,32.0,31.38
Potato,Delhi,2500,4,24.0,25.19
Cabbage,Hyderabad,412,9,18.0,20.83
