crop,location,year,month,season,avg_market_price,prev_demand,festival_flag,rainfall_mm,temperature_c,demand_kg
Tomato,Delhi,2022,1,Winter,26.27,5250,0,24.6,32.9,7900.0
Tomato,Delhi,2022,2,Winter,25.6,7900,0,0.0,28.0,7872.0
Tomato,Delhi,2022,3,Summer,27.21,7872,0,19.7,24.2,7293.0
Tomato,Delhi,2022,4,Summer,27.39,7293,0,21.0,23.9,5446.0
Tomato,Delhi,2022,5,Summer,28.72,5446,0,72.1,19.6,4015.0
Tomato,Delhi,2022,6,Monsoon,29.76,4015,0,144.5,21.2,2712.0
Tomato,Delhi,2022,7,Monsoon,28.99,2712,0,187.4,25.0,2232.0
Tomato,Delhi,2022,8,Monsoon,31.04,2232,0,200.1,30.6,2112.0
Tomato,Delhi,2022,9,Monsoon,28.35,2112,0,139.6,33.3,3553.0
Tomato,Delhi,2022,10,Autumn,25.58,3553,1,64.9,36.5,5989.0
Tomato,Delhi,2022,11,Autumn,25.04,5989,1,31.1,39.8,7877.0
Tomato,Delhi,2022,12,Winter,26.64,7877,0,21.8,38.1,8003.0
Tomato,Delhi,2023,1,Winter,26.4,8003,0,30.2,34.6,8487.0
Tomato,Delhi,2023,2,Winter,25.55,8487,0,0.0,29.5,7918.0
Tomato,Delhi,2023,3,Summer,25.57,7918,0,15.9,27.7,7417.0
Tomato,Delhi,2023,4,Summer,27.79,7417,0,0.0,21.7,5919.0
Tomato,Delhi,2023,5,Summer,27.85,5919,0,77.3,22.2,4031.0
Tomato,Delhi,2023,6,Monsoon,27.13,4031,0,160.1,21.9,2482.0
Tomato,Delhi,2023,7,Monsoon,29.32,2482,0,180.1,26.2,2271.0
Tomato,Delhi,2023,8,Monsoon,29.79,2271,0,187.5,30.2,2200.0
Tomato,Delhi,2023,9,Monsoon,27.83,2200,0,154.1,33.5,3107.0
Tomato,Delhi,2023,10,Autumn,26.9,3107,1,48.6,38.5,5634.0
Tomato,Delhi,2023,11,Autumn,27.71,5634,1,27.2,39.7,7599.0
Tomato,Delhi,2023,12,Winter,23.85,7599,0,13.7,37.7,7496.0
Tomato,Delhi,2024,1,Winter,27.34,7496,0,0.2,33.0,7846.0
Tomato,Delhi,2024,2,Winter,26.5,7846,0,14.3,31.9,8161.0
Tomato,Delhi,2024,3,Summer,26.25,8161,0,6.0,25.2,7044.0
Tomato,Delhi,2024,4,Summer,28.99,7044,0,32.6,19.6,5678.0
Tomato,Delhi,2024,5,Summer,29.29,5678,0,57.7,18.8,3904.0
